time_period,source,location,material,SLCA_EF - Child labor impact (worker hour/kg),SLCA_EF - Forced labor impact (worker hour/kg),SLCA_EF - Fatal injury impact (worker hour/kg),SLCA_EF - Non-fatal injury impact (worker hour/kg),SLCA_EF - Unemployment impact (worker hour/kg)
1,clay refining,BR,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,clay refining,CA,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,clay refining,CN,neodynium_oxide,0.000162012,0.001620119,0.000162012,0.000162012,-0.001620119
1,clay refining,EE,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,clay refining,JP,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,clay refining,MM,neodynium_oxide,0.000259219,0.025921902,2.59E-05,2.59E-05,-2.59E-05
1,clay refining,MY,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,clay refining,US,neodynium_oxide,2.16E-06,2.16E-06,2.16E-06,0.000216016,-2.16E-05
1,hydrochloric acid digestion,AU,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,BR,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,CA,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,CN,dysprosium_oxide,0.000709289,0.007092891,0.000709289,0.000709289,-0.007092891
1,hydrochloric acid digestion,EE,dysprosium_oxide,4.17E-05,0.000417229,4.17E-05,0.000417229,-0.000417229
1,hydrochloric acid digestion,JP,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,MM,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,MY,dysprosium_oxide,4.17E-05,0.000417229,0.004172289,0.417228853,-0.000417229
1,hydrochloric acid digestion,US,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,AU,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,BR,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,CA,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,CN,neodynium_oxide,0.000709289,0.007092891,0.000709289,0.000709289,-0.007092891
1,hydrochloric acid digestion,EE,neodynium_oxide,4.17E-05,0.000417229,4.17E-05,0.000417229,-0.000417229
1,hydrochloric acid digestion,JP,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,MM,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,hydrochloric acid digestion,MY,neodynium_oxide,4.17E-05,0.000417229,0.004172289,0.417228853,-0.000417229
1,hydrochloric acid digestion,US,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,magnet manufacturing,AU,hp_magnet,Not available,Not available,Not available,Not available,Not available
1,magnet manufacturing,BR,hp_magnet,Not available,Not available,Not available,Not available,Not available
1,magnet manufacturing,CA,hp_magnet,Not available,Not available,Not available,Not available,Not available
1,magnet manufacturing,CN,hp_magnet,4.45E-05,0.000444986,4.45E-05,4.45E-05,-0.000444986
1,magnet manufacturing,EE,hp_magnet,9.57E-07,9.57E-07,9.57E-07,9.57E-07,-9.57E-05
1,magnet manufacturing,JP,hp_magnet,2.39E-06,2.39E-06,2.39E-06,2.39E-06,-2.39E-06
1,magnet manufacturing,MM,hp_magnet,Not available,Not available,Not available,Not available,Not available
1,magnet manufacturing,MY,hp_magnet,Not available,Not available,Not available,Not available,Not available
1,magnet manufacturing,US,hp_magnet,Not available,Not available,Not available,Not available,Not available
1,metallothermic reduction,AU,dysprosium,Not available,Not available,Not available,Not available,Not available
1,metallothermic reduction,BR,dysprosium,Not available,Not available,Not available,Not available,Not available
1,metallothermic reduction,CA,dysprosium,Not available,Not available,Not available,Not available,Not available
1,metallothermic reduction,CN,dysprosium,0.000255319,0.002553191,0.000255319,0.000255319,-0.002553191
1,metallothermic reduction,EE,dysprosium,Not available,Not available,Not available,Not available,Not available
1,metallothermic reduction,JP,dysprosium,Not available,Not available,Not available,Not available,Not available
1,metallothermic reduction,MM,dysprosium,Not available,Not available,Not available,Not available,Not available
1,metallothermic reduction,MY,dysprosium,Not available,Not available,Not available,Not available,Not available
1,metallothermic reduction,US,dysprosium,Not available,Not available,Not available,Not available,Not available
1,mining,AU,bastnasite,6.33E-07,6.33E-07,6.33E-07,6.33E-06,-6.33E-06
1,mining,BR,bastnasite,Not available,Not available,Not available,Not available,Not available
1,mining,CA,bastnasite,Not available,Not available,Not available,Not available,Not available
1,mining,CN,bastnasite,3.96E-06,3.96E-05,3.96E-06,3.96E-06,-3.96E-05
1,mining,EE,bastnasite,Not available,Not available,Not available,Not available,Not available
1,mining,JP,bastnasite,Not available,Not available,Not available,Not available,Not available
1,mining,MM,bastnasite,6.33E-06,0.00063307,6.33E-07,6.33E-07,-6.33E-07
1,mining,MY,bastnasite,Not available,Not available,Not available,Not available,Not available
1,mining,US,bastnasite,5.28E-08,5.28E-08,5.28E-08,5.28E-06,-5.28E-07
1,mining,AU,monazaite,6.33E-07,6.33E-07,6.33E-07,6.33E-06,-6.33E-06
1,mining,BR,monazaite,Not available,Not available,Not available,Not available,Not available
1,mining,CA,monazaite,Not available,Not available,Not available,Not available,Not available
1,mining,CN,monazaite,3.96E-06,3.96E-05,3.96E-06,3.96E-06,-3.96E-05
1,mining,EE,monazaite,Not available,Not available,Not available,Not available,Not available
1,mining,JP,monazaite,Not available,Not available,Not available,Not available,Not available
1,mining,MM,monazaite,6.33E-06,0.00063307,6.33E-07,6.33E-07,-6.33E-07
1,mining,MY,monazaite,Not available,Not available,Not available,Not available,Not available
1,mining,US,monazaite,5.28E-08,5.28E-08,5.28E-08,5.28E-06,-5.28E-07
1,molten_salt electrolysis,AU,neodynium,Not available,Not available,Not available,Not available,Not available
1,molten_salt electrolysis,BR,neodynium,Not available,Not available,Not available,Not available,Not available
1,molten_salt electrolysis,CA,neodynium,Not available,Not available,Not available,Not available,Not available
1,molten_salt electrolysis,CN,neodynium,0.000255319,0.002553191,0.000255319,0.000255319,-0.002553191
1,molten_salt electrolysis,EE,neodynium,Not available,Not available,Not available,Not available,Not available
1,molten_salt electrolysis,JP,neodynium,Not available,Not available,Not available,Not available,Not available
1,molten_salt electrolysis,MM,neodynium,Not available,Not available,Not available,Not available,Not available
