lcia,value,lcia_unit,year,method,location,process,unit of functional demand,functional unit,run_location
"Land transformation, biodiversity",-0.000131702,m2 arable land eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Mining,kilogram,1,CN
Marine eutrophication,0.018014297,kg N N-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Mining,kilogram,1,CN
Mineral resources use,0.047208837,kg deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Mining,kilogram,1,CN
Ozone layer depletion,7.01E-09,kg CFC-11 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Mining,kilogram,1,CN
Particulate matter formation,0.000412989,kg PM2.5 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Mining,kilogram,1,CN
Photochemical ozone formation,0.001370742,kgNOxeq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Mining,kilogram,1,CN
Resources services deficit (beta),0.000198137,kg deficit,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Mining,kilogram,1,CN
Terrestrial acidification,0.001808249,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Mining,kilogram,1,CN
Water scarcity,-93.61595658,m3 world-eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Mining,kilogram,1,CN
Acidification Potential (Ap) No Lt,0.013555479,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Global Warming Potential (Gwp100) No Lt,2.566745713,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Ecotoxicity: Freshwater No Lt,3.661558147,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Eutrophication Potential No Lt,0.000530265,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Human Toxicity: Carcinogenic No Lt,1.21E-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Human Toxicity: Non-Carcinogenic No Lt,4.96E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Ozone Depletion Potential (Odp) No Lt,3.49E-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Particulate Matter Formation Potential (Pmfp) No Lt,0.001172482,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Maximum Incremental Reactivity (Mir) No Lt,0.090040776,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Acidification Potential (Ap),0.013626164,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Global Warming Potential (Gwp100),2.567358568,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Ecotoxicity: Freshwater,63.83738685,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Eutrophication Potential,0.00358778,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Human Toxicity: Carcinogenic,2.99E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Human Toxicity: Non-Carcinogenic,1.10E-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Ozone Depletion Potential (Odp),3.49E-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Particulate Matter Formation Potential (Pmfp),0.001179055,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Maximum Incremental Reactivity (Mir),0.092508249,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite Roasting,kilogram,1,CN
Terrestrial Acidification Potential (Tap),0.012036627,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Global Warming Potential (Gwp1000),2.64693688,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Freshwater Ecotoxicity Potential (Fetp),0.198441561,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Marine Ecotoxicity Potential (Metp),0.263618046,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Terrestrial Ecotoxicity Potential (Tetp),24.15227302,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Fossil Fuel Potential (Ffp),0.645173142,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Freshwater Eutrophication Potential (Fep),0.000367288,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Marine Eutrophication Potential (Mep),3.78E-05,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Human Toxicity Potential (Htpc),0.214282848,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Human Toxicity Potential (Htpnc),4.103283797,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Ionising Radiation Potential (Irp),0.021507513,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Agricultural Land Occupation (Lop),0.0253285,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Surplus Ore Potential (Sop),0.028094177,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Ozone Depletion Potential (Odpinfinite),3.70E-07,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Particulate Matter Formation Potential (Pmfp),0.003795764,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Photochemical Oxidant Formation Potential: Humans (Hofp),0.003817292,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.0041282,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Water Consumption Potential (Wcp),0.012093213,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite Roasting,kilogram,1,CN
Adaptation to resources services loss (beta),4.175065025,MJ,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
"Climate change, long term, CO2 uptake",-0.02329682,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
"Climate change, long term, biogenic",0.254085583,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
"Climate change, long term, fossil",2.185414581,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
"Climate change, long term, land transformation",0.000578718,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
"Climate change, short term, CO2 uptake",-0.02329682,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
"Climate change, short term, biogenic",0.258319206,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
"Climate change, short term, fossil",2.334940289,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
"Climate change, short term, land transformation",0.000579535,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Fossil and nuclear energy use,30.3282136,MJ deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Freshwater acidification,0.012912554,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Freshwater ecotoxicity,464.6728206,CTUe,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Freshwater eutrophication,3.03E-05,kg PO4 P-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Human toxicity cancer,1.41E-08,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Human toxicity non-cancer,3.41E-07,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Ionizing radiations,3.003607835,Bq C-14 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
"Land occupation, biodiversity",0.045367025,m2 arable land eq .yr,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
"Land transformation, biodiversity",0.000290389,m2 arable land eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Marine eutrophication,0.000142223,kg N N-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Mineral resources use,0.027458787,kg deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Ozone layer depletion,3.69E-08,kg CFC-11 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Particulate matter formation,0.001173774,kg PM2.5 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Photochemical ozone formation,0.003825824,kgNOxeq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Resources services deficit (beta),0.000173324,kg deficit,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Terrestrial acidification,0.013155266,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Water scarcity,0.477767093,m3 world-eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite Roasting,kilogram,1,CN
Acidification Potential (Ap) No Lt,0.174757424,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Global Warming Potential (Gwp100) No Lt,70.63302289,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Ecotoxicity: Freshwater No Lt,912.7136827,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Eutrophication Potential No Lt,7.904613092,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Human Toxicity: Carcinogenic No Lt,7.33E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Human Toxicity: Non-Carcinogenic No Lt,0.000173589,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Ozone Depletion Potential (Odp) No Lt,1.71E-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Particulate Matter Formation Potential (Pmfp) No Lt,0.02734702,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Maximum Incremental Reactivity (Mir) No Lt,2.191156714,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Acidification Potential (Ap),0.178292095,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Global Warming Potential (Gwp100),70.66269372,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Ecotoxicity: Freshwater,2123.112056,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Eutrophication Potential,8.109801626,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Human Toxicity: Carcinogenic,3.09E-05,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Human Toxicity: Non-Carcinogenic,0.00018599,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Ozone Depletion Potential (Odp),1.71E-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Particulate Matter Formation Potential (Pmfp),0.029602437,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Maximum Incremental Reactivity (Mir),2.310711968,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Monazite SX,kilogram,1,CN
Terrestrial Acidification Potential (Tap),0.141678172,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Global Warming Potential (Gwp1000),73.7198347,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Freshwater Ecotoxicity Potential (Fetp),6.088050622,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Marine Ecotoxicity Potential (Metp),8.699251889,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Terrestrial Ecotoxicity Potential (Tetp),1198.117096,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Fossil Fuel Potential (Ffp),11.55221874,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Freshwater Eutrophication Potential (Fep),0.387700924,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Marine Eutrophication Potential (Mep),0.863601002,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Human Toxicity Potential (Htpc),21.88589197,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Human Toxicity Potential (Htpnc),283.4798366,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Ionising Radiation Potential (Irp),2.312663118,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Agricultural Land Occupation (Lop),1.050775457,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Surplus Ore Potential (Sop),2.814101077,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Ozone Depletion Potential (Odpinfinite),0.000101458,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Particulate Matter Formation Potential (Pmfp),0.056625814,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Photochemical Oxidant Formation Potential: Humans (Hofp),0.08873302,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.09295164,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Water Consumption Potential (Wcp),0.466463481,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,CN
Adaptation to resources services loss (beta),117.0045248,MJ,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
"Climate change, long term, CO2 uptake",-1.346102581,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
"Climate change, long term, biogenic",17.81680227,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
"Climate change, long term, fossil",46.91716477,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
"Climate change, long term, land transformation",0.054334272,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
"Climate change, short term, CO2 uptake",-1.346102581,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
"Climate change, short term, biogenic",20.53603058,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
"Climate change, short term, fossil",50.86904566,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
"Climate change, short term, land transformation",0.054346865,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Fossil and nuclear energy use,576.4506598,MJ deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Freshwater acidification,0.134063655,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Freshwater ecotoxicity,308474.925,CTUe,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Freshwater eutrophication,2.11431938,kg PO4 P-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Human toxicity cancer,7.88E-07,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Human toxicity non-cancer,3.09E-05,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Ionizing radiations,307.2350105,Bq C-14 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
"Land occupation, biodiversity",1.899949486,m2 arable land eq .yr,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
"Land transformation, biodiversity",0.012557736,m2 arable land eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Marine eutrophication,0.854282632,kg N N-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Mineral resources use,2.666173207,kg deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Ozone layer depletion,1.95E-06,kg CFC-11 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Particulate matter formation,0.03166791,kg PM2.5 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Photochemical ozone formation,0.088577582,kgNOxeq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Resources services deficit (beta),0.012057429,kg deficit,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Terrestrial acidification,0.149581722,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Water scarcity,-4422.618831,m3 world-eq,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Monazite SX,kilogram,1,CN
Acidification Potential (Ap) No Lt,0.019428955,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Global Warming Potential (Gwp100) No Lt,5.620689363,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Ecotoxicity: Freshwater No Lt,3.335121171,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Eutrophication Potential No Lt,0.003224148,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Human Toxicity: Carcinogenic No Lt,1.89E-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Human Toxicity: Non-Carcinogenic No Lt,5.08E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Ozone Depletion Potential (Odp) No Lt,3.54E-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Particulate Matter Formation Potential (Pmfp) No Lt,0.002409492,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Maximum Incremental Reactivity (Mir) No Lt,0.203598087,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Acidification Potential (Ap),0.019564074,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Global Warming Potential (Gwp100),5.621857781,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Ecotoxicity: Freshwater,96.8675566,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Eutrophication Potential,0.020665358,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Human Toxicity: Carcinogenic,1.21E-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Human Toxicity: Non-Carcinogenic,1.76E-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Ozone Depletion Potential (Odp),3.54E-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Particulate Matter Formation Potential (Pmfp),0.002434765,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Maximum Incremental Reactivity (Mir),0.208308751,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Metallothermic Reduction,kilogram,1,CN
Terrestrial Acidification Potential (Tap),0.016080938,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Global Warming Potential (Gwp1000),5.812133304,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Freshwater Ecotoxicity Potential (Fetp),0.275102565,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Marine Ecotoxicity Potential (Metp),0.3755184,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Terrestrial Ecotoxicity Potential (Tetp),42.55478941,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Fossil Fuel Potential (Ffp),1.09691062,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Freshwater Eutrophication Potential (Fep),0.002015849,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Marine Eutrophication Potential (Mep),0.000259429,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Human Toxicity Potential (Htpc),0.855276252,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Human Toxicity Potential (Htpnc),6.643789088,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Ionising Radiation Potential (Irp),0.539782353,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Agricultural Land Occupation (Lop),0.113980807,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Surplus Ore Potential (Sop),0.479607578,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Ozone Depletion Potential (Odpinfinite),9.90E-07,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Particulate Matter Formation Potential (Pmfp),0.005694367,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Photochemical Oxidant Formation Potential: Humans (Hofp),0.008496847,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.00877673,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Water Consumption Potential (Wcp),0.058344205,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,CN,Metallothermic Reduction,kilogram,1,CN
Adaptation to resources services loss (beta),8.331499659,MJ,ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Metallothermic Reduction,kilogram,1,CN
"Climate change, long term, CO2 uptake",-0.326079988,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Metallothermic Reduction,kilogram,1,CN
"Climate change, long term, biogenic",0.338834614,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Metallothermic Reduction,kilogram,1,CN
"Climate change, long term, fossil",4.973422811,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Metallothermic Reduction,kilogram,1,CN
"Climate change, long term, land transformation",0.006875583,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Metallothermic Reduction,kilogram,1,CN
"Climate change, short term, CO2 uptake",-0.326079988,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Metallothermic Reduction,kilogram,1,CN
"Climate change, short term, biogenic",0.348989191,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Metallothermic Reduction,kilogram,1,CN
"Climate change, short term, fossil",5.328217249,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,CN,Metallothermic Reduction,kilogram,1,CN
