lcia,value,lcia_unit,year,method,location,process,unit of functional demand,functional unit,source_file
Particulate Matter Formation Potential (Pmfp),0.0236194124316747,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Photochemical Oxidant Formation Potential: Humans (Hofp),0.0332806293448574,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.0351961557432266,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Water Consumption Potential (Wcp),0.2182284998319502,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,CN,Monazite SX,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseMonazite_SXCN.csv
Acidification Potential (Ap) No Lt,0.0538081083797664,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Global Warming Potential (Gwp100) No Lt,0.5999303020792156,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Ecotoxicity: Freshwater No Lt,2.45136624113767,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Eutrophication Potential No Lt,0.003023530529617,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Human Toxicity: Carcinogenic No Lt,2.0644889207674405e-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Human Toxicity: Non-Carcinogenic No Lt,8.081417872367509e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Ozone Depletion Potential (Odp) No Lt,5.454495198079835e-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Particulate Matter Formation Potential (Pmfp) No Lt,0.001173233878951,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Maximum Incremental Reactivity (Mir) No Lt,0.0590779084790282,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Acidification Potential (Ap),0.0538870969338063,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Global Warming Potential (Gwp100),0.600614982391632,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Ecotoxicity: Freshwater,89.36759629657239,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Eutrophication Potential,0.0058271950634016,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Human Toxicity: Carcinogenic,3.245069231316219e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Human Toxicity: Non-Carcinogenic,9.23087793600954e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Ozone Depletion Potential (Odp),5.454495198079835e-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Particulate Matter Formation Potential (Pmfp),0.0011769939083073,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Maximum Incremental Reactivity (Mir),0.0618349093052908,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Terrestrial Acidification Potential (Tap),0.0137913819107541,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Global Warming Potential (Gwp1000),0.6162904376788092,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Freshwater Ecotoxicity Potential (Fetp),0.2803213380825787,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Marine Ecotoxicity Potential (Metp),0.367334812554177,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Terrestrial Ecotoxicity Potential (Tetp),31.147491497040477,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Fossil Fuel Potential (Ffp),0.1136429690207376,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Freshwater Eutrophication Potential (Fep),0.0003686977084305,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Marine Eutrophication Potential (Mep),0.0008385173150034,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Human Toxicity Potential (Htpc),0.234422207012006,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Human Toxicity Potential (Htpnc),3.635969075824781,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Ionising Radiation Potential (Irp),0.0219618563288951,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Agricultural Land Occupation (Lop),0.0294356978852074,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Surplus Ore Potential (Sop),0.0357425141823887,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Ozone Depletion Potential (Odpinfinite),1.780373438017508e-07,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Particulate Matter Formation Potential (Pmfp),0.0042690073164864,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Photochemical Oxidant Formation Potential: Humans (Hofp),0.0025110065052327,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.0025781667588803,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Water Consumption Potential (Wcp),0.0207271949768763,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Roasting,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_RoastingCN.csv
Acidification Potential (Ap) No Lt,0.0185254596742829,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Global Warming Potential (Gwp100) No Lt,4.444484577264375,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Ecotoxicity: Freshwater No Lt,4.208937481021697,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Eutrophication Potential No Lt,0.0109564680098828,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Human Toxicity: Carcinogenic No Lt,2.671601384101289e-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Human Toxicity: Non-Carcinogenic No Lt,6.64881890016644e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Ozone Depletion Potential (Odp) No Lt,3.661088618967953e-07,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Particulate Matter Formation Potential (Pmfp) No Lt,0.0021176765421259,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Maximum Incremental Reactivity (Mir) No Lt,0.2319610072634971,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Acidification Potential (Ap),0.0186355778860134,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Global Warming Potential (Gwp100),4.445436226849559,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Ecotoxicity: Freshwater,119.40413393383024,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Eutrophication Potential,0.0231892972405995,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Human Toxicity: Carcinogenic,1.1670216413892744e-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Human Toxicity: Non-Carcinogenic,1.9149535286145727e-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Ozone Depletion Potential (Odp),3.661088618967953e-07,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Particulate Matter Formation Potential (Pmfp),0.0021303467808434,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Maximum Incremental Reactivity (Mir),0.2357963653136696,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Terrestrial Acidification Potential (Tap),0.01556856813002,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Global Warming Potential (Gwp1000),4.689634155415583,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Freshwater Ecotoxicity Potential (Fetp),0.3449674103685367,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Marine Ecotoxicity Potential (Metp),0.4731023088014979,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Terrestrial Ecotoxicity Potential (Tetp),71.00928277258625,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Fossil Fuel Potential (Ffp),1.8602332631581973,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Freshwater Eutrophication Potential (Fep),0.0013776736950419,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Marine Eutrophication Potential (Mep),0.0001856577799557,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Human Toxicity Potential (Htpc),0.839749605819277,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Human Toxicity Potential (Htpnc),7.230647623484214,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Ionising Radiation Potential (Irp),0.2267640249256383,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Agricultural Land Occupation (Lop),0.0789801951002637,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Surplus Ore Potential (Sop),0.3199615546586395,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Ozone Depletion Potential (Odpinfinite),2.9636446647013214e-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Particulate Matter Formation Potential (Pmfp),0.005598112823788,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Photochemical Oxidant Formation Potential: Humans (Hofp),0.0077361629756007,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.0084850382921292,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Water Consumption Potential (Wcp),0.0480534397536366,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,CN,BM SX & Calcination [allocated to neodymium oxide],kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBM_SX_&_Calcination_[allocated_to_neodymium_oxide]CN.csv
Acidification Potential (Ap) No Lt,0.003453548190694,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Global Warming Potential (Gwp100) No Lt,0.6675580139430713,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Ecotoxicity: Freshwater No Lt,7.244905929468767,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Eutrophication Potential No Lt,0.0025485594173173,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Human Toxicity: Carcinogenic No Lt,2.360135884012474e-09,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Human Toxicity: Non-Carcinogenic No Lt,6.683183406751675e-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Ozone Depletion Potential (Odp) No Lt,9.405547887557087e-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Particulate Matter Formation Potential (Pmfp) No Lt,0.0003788729513309,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Maximum Incremental Reactivity (Mir) No Lt,0.0337232098160434,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Acidification Potential (Ap),0.0035054570698454,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Global Warming Potential (Gwp100),0.6680084427769462,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Ecotoxicity: Freshwater,16.22702399483424,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Eutrophication Potential,0.0040801782310732,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Human Toxicity: Carcinogenic,1.771956243554023e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Human Toxicity: Non-Carcinogenic,1.9250049073030698e-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Ozone Depletion Potential (Odp),9.405547887557087e-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Particulate Matter Formation Potential (Pmfp),0.0003812655182007,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Maximum Incremental Reactivity (Mir),0.0355359102415693,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Terrestrial Acidification Potential (Tap),0.0025486285951829,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Global Warming Potential (Gwp1000),0.6996331727373677,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Freshwater Ecotoxicity Potential (Fetp),0.0354580417871595,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Marine Ecotoxicity Potential (Metp),0.0532825140599651,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Terrestrial Ecotoxicity Potential (Tetp),13.369294959476274,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Fossil Fuel Potential (Ffp),0.1783241617871194,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Freshwater Eutrophication Potential (Fep),0.0001789229429291,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Marine Eutrophication Potential (Mep),1.5670635267246858e-05,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
Human Toxicity Potential (Htpc),0.1248852460914645,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,CN,Bastanasite Beneficiation,kilogram,1,lcia_resultsecoinvent_2020_SSP2-BaseBastanasite_BeneficiationCN.csv
