cost_usd,gwp_kg_co2eq,child_labor_hrs
217509.706871687,133329.564067277,2.769044021
217514.325515251,134391.354345376,2.712362119
217515.17708992,134101.775178619,2.726532594
217522.857984256,133812.196011701,2.74070307
217535.854530153,133426.090456196,2.761958784
217559.357618359,134487.880734296,2.705276881
217560.209226665,134198.301567368,2.719447357
217562.002173889,133522.616845116,2.754873546
217562.86151643,133908.72240062,2.733617832
217588.149803353,133619.143234035,2.747788308
217600.683972968,133233.03767842,2.76979461
217600.684021559,133233.037678382,2.769794914
217600.684067321,133233.037678382,2.769794913
217605.241281521,134294.827956457,2.712362119
217606.092842583,134005.248789699,2.726532594
217614.558433441,133233.037678358,2.769044021
217619.144682773,133715.669622952,2.74070307
217630.803411158,134556.363492796,2.698191643
217640.706101593,133329.564067277,2.761958784
217650.273429916,134391.354345207,2.705276881
217651.124945342,134101.775178618,2.719447357
217657.278935119,133812.196011701,2.733617832
217666.853777,133426.090456049,2.754873546
217693.001374843,133522.616845116,2.747788308
217695.305488192,134487.880734295,2.698191643
217696.157048636,134198.301567538,2.712362119
217698.504580101,133908.72240062,2.726532594
217720.529682549,133619.143234032,2.74070307
217741.189151887,134294.827956457,2.705276881
217742.040727703,134005.248789699,2.719447357
217745.557704978,133233.037678211,2.761958783
217752.340169515,133715.669622951,2.733617832
217771.705350515,133329.56406713,2.754873546
217774.665095735,134547.961230386,2.691106409
217786.221269151,134391.354345377,2.698191643
217787.072815392,134101.775178618,2.712362119
217792.921966104,133812.196011864,2.726532594
217797.852945924,133426.090456196,2.747788308
217824.000604575,133522.616845116,2.74070307
217831.253357944,134487.880734296,2.691106405
217832.104918649,134198.301567538,2.705276881
217834.147669006,133908.72240062,2.719447357
217853.760967265,133619.143234032,2.733617832
217876.556891934,133233.037678358,2.754873546
217877.137021673,134294.827956457,2.698191643
217877.988582005,134005.248789699,2.712362119
217887.667132567,133715.669622948,2.726532594
217902.704566175,133329.56406713,2.747788308
217918.526934586,134539.558964963,2.684021168
217922.169115624,134391.354345377,2.691106405
217923.020699614,134101.775178619,2.705276881
217928.565021869,133812.196011701,2.719447357
217928.852175751,133426.090456196,2.74070307
217955.776838741,133522.616845116,2.733617832
217967.201272256,134487.880734126,2.684021168
217968.052802689,134198.301567538,2.698191643
217969.790676115,133908.722400784,2.712362119
217987.596417785,133619.143234032,2.726532594
218007.556102669,133233.037678358,2.747788308
218009.333472408,133136.511289501,2.753363362
218009.333514933,133136.511289501,2.753363361
218009.333536524,133136.511289463,2.753363666
218009.333573005,133136.511289463,2.753363665
218013.084891297,134294.827956457,2.691106405
218013.93646611,134005.2487897,2.705276881
218023.004450766,133715.669622948,2.719447357
218033.703746747,133329.564067277,2.74070307
218058.116994321,134391.354345376,2.684021168
218058.968554994,134101.775178618,2.698191643
218060.676255624,133426.090456196,2.733617832
218062.391014129,134531.156562158,2.676935815
218064.208092918,133812.196011864,2.712362119
218089.017275486,133522.616844961,2.726532594
218103.14909729,134487.880734296,2.67693593
218104.000658175,134198.301567538,2.691106405
218105.433739889,133908.722400784,2.705276881
218112.40765956,133136.511289439,2.747788308
218121.431939312,133619.14323388,2.719447357
218138.555303489,133233.037678358,2.74070307
218149.032775586,134294.827956457,2.684021168
218149.884321822,134005.248789699,2.698191643
218158.625497476,133715.669622945,2.712362119
218165.575687364,133329.564067277,2.733617832
218193.015089334,133426.090456196,2.726532594
218194.064864361,134391.354345376,2.67693593
218194.916424884,134101.775178619,2.691106405
218199.851157739,133812.196011864,2.705276881
218209.652654963,134524.705629862,2.669850692
218222.852681462,133522.616845113,2.719447357
218239.948599568,134198.301567368,2.684021168
218241.076789595,133908.722400784,2.698191643
218243.406874564,133136.511289439,2.74070307
218244.337057799,134487.880734296,2.669850692
218256.271792693,133619.143234029,2.712362119
218270.475089257,133233.037678358,2.733617832
218284.980645072,134294.827956457,2.67693593
218285.832191622,134005.248789699,2.691106405
218294.268575508,133715.669622945,2.705276881
218297.914506272,133329.564067277,2.726532594
218325.353922863,133426.090456197,2.719447357
218330.864294699,134101.775178619,2.684021168
218335.252824371,134391.354345376,2.669850692
218335.49420699,133812.196011864,2.698191643
218356.688131875,133522.616845113,2.712362119
218375.374506501,133136.511289439,2.733617832
218375.896411779,134198.301567538,2.67693593
218376.748005988,133908.72240061,2.691106405
218391.609081085,133619.143234029,2.705276881
218402.813937607,133233.037678358,2.726532594
218418.458127807,133039.984900582,2.736927536
218418.458144154,133039.984900582,2.736927535
218418.458144568,133039.984900581,2.736927535
218418.458175205,133039.984900544,2.736927839
218418.4581886,133039.984900544,2.736927837
218418.458225544,133039.984900544,2.736927836
218421.780052407,134005.248789699,2.684021168
218426.168638978,134294.827956288,2.669850692
218429.911625383,133715.669622945,2.698191643
218430.25335468,133329.564067277,2.719447357
218458.108943926,133426.090456194,2.712362119
218466.812234722,134101.775178449,2.67693593
218471.137285691,133812.196011864,2.691106405
218480.273938051,133039.984900519,2.733617832
218490.523582443,133522.616845113,2.705276881
218507.713340135,133136.511289438,2.726532594
218512.695869736,133908.72240061,2.684021168
218517.0843485,134198.301567538,2.669850692
218526.946384672,133619.143234029,2.698191643
218535.152771505,133233.037678358,2.719447357
218557.727922421,134005.248789699,2.67693593
218562.592188345,133329.564067277,2.712362119
218565.554760167,133715.669622781,2.691106405
218591.944395065,133426.090456194,2.705276881
218606.780335284,133812.196011864,2.684021168
218608.000171663,134101.775178449,2.669850692
