analyzed_process,analyzed_process_location,flow_name,flow_category,flow_subcategory,flow_unit,flow_uuid,amount,num_contributing_activities,source_process,source_material,lcia_method,lcia_category,profile_basis,raw_contribution_rows,num_contributing_regions
Bauxite mining__bauxite,CN,Iprodione (human toxicity: non-carcinogenic),characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,1e54d41d-a475-5206-bed3-1fd3a0ac0ff0,1.3224322540720766e-09,6,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,6
Bauxite mining__bauxite,CN,Nitrogen oxides (maximum incremental reactivity (MIR)),characterized inventory / maximum incremental reactivity (MIR),total_life_cycle aggregated background activities,kg O3-Eq,5522d128-68c0-575e-96b2-b1ae7e13bd26,0.0026770293023446884,25,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Maximum Incremental Reactivity (Mir),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,17
Bauxite mining__bauxite,CN,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,a9aa87dc-133c-5b59-a920-3c15a35af99c,1.971447751103211e-09,13,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,85,11
Bauxite mining__bauxite,CN,"Methane, monochloro-, R-40 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,f5cb6ed1-32fd-5d3b-a93d-83e37592af28,2.208087159185159e-13,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,69,4
Bauxite mining__bauxite,CN,"Methane, tetrachloro-, R-10 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,5bf304c4-efcf-5a8a-b6bf-32027d4679e6,4.573472994125852e-13,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,7
Bauxite mining__bauxite,CN,"Particulate Matter, > 2.5 um and < 10um (particulate matter formation potential (PMFP))",characterized inventory / particulate matter formation potential (PMFP),total_life_cycle aggregated background activities,PM2.5-Eq,dcc877d2-5996-5873-bb95-2d238bb0dbba,2.3918278413212722e-05,38,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Particulate Matter Formation Potential (Pmfp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,26
Bauxite mining__bauxite,GR,Nitrogen oxides (acidification potential (AP)),characterized inventory / acidification potential (AP),total_life_cycle aggregated background activities,kg SO2-Eq,d9b2f386-f94c-5cd5-8e38-d8074fd1ea34,0.00011954311915241607,49,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Acidification Potential (Ap),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,32
Bauxite mining__bauxite,GR,"1,2-Dichlorobenzene (ecotoxicity: freshwater)",characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,31332080-d357-5cb8-8aac-c2188f45fbf7,0.0018766197964045692,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,94,7
Bauxite mining__bauxite,GR,Iprodione (ecotoxicity: freshwater),characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,1f0dd364-a314-5458-8363-535904f16e55,0.0428212380158405,4,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,4
Bauxite mining__bauxite,GR,Nitrogen dioxide (ecotoxicity: freshwater),characterized inventory / ecotoxicity: freshwater,total_life_cycle aggregated background activities,CTUe,92cfd921-a2f9-5a7f-aa5e-6def01898b0c,0.004370655103908204,6,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ecotoxicity: Freshwater,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,60,5
