time_period,source,source_location,destination,destination_location,material,flow_value
4,magnet manufacturing,US,magnet_market_mix,US,hp_magnet,1000000.0007172945
4,magnet_market_mix,US,use phase,US,hp_magnet,2613971.10339851
4,metallothermic reduction,CN,chemical transformation,CN,dysprosium,51751.58279557054
4,metallothermic reduction,EE,chemical transformation,US,dysprosium,20833.33185571461
4,mining,CA,mining,CA,bastnasite,2465514.8184975293
4,mining,CN,beneficiation,CN,monazaite,7287383.470211677
4,mining,CN,chemical transformation,CN,iron,1656050.6494582572
4,mining,US,chemical transformation,US,iron,666666.6671784134
4,molten_salt electrolysis,CN,chemical transformation,CN,neodynium,776273.7419335581
4,molten_salt electrolysis,US,chemical transformation,US,neodynium,312499.9993442836
4,sulfuric acid digestion,CN,molten_salt electrolysis,CN,neodynium_oxide,895714.5962873569
4,sulfuric acid digestion,CN,molten_salt electrolysis,CN,dysprosium_oxide,4332.795964465558
4,sulfuric acid digestion,CN,molten_salt electrolysis,US,neodynium_oxide,371509.44503060327
4,sulfuric acid digestion,CN,molten_salt electrolysis,US,dysprosium_oxide,1797.084282603572
4,use phase,US,direct reuse,US,hp_magnet,30448.060423662326
4,use phase,US,magnet-to-magnet recycling,US,hp_magnet,30448.060423662322
4,use phase,US,hydrometallurgical,US,hp_magnet,30448.060423662326
4,use phase,US,pyrometallurgical,US,hp_magnet,30448.060423662326
4,use phase,US,cryogenic,US,hp_magnet,30448.060423662326
